,A1,A2,A3,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
G3V8V3,3966.607378,3438.152089,120826.9493,6775.930858,4203.798292,4148.819218,280293.5991,108636.6537,6545.608948,3815.500062,3003.783052,9191.522416,3783.731527,15665.65544,604750.9501
Q3SWT2,9005.505122,9235.18243,13037.12952,13127.55469,8976.036805,8240.50869,8405.31615,5223.002592,11729.74646,12236.64866,1213.67317,1624.525446,4648.036259,1452.319965,2234.300393
G3V913,45489.92274,60167.66158,68495.84377,69414.25426,52882.63097,58562.15978,80177.23827,37821.19974,59390.76009,80146.27734,52952.33703,50530.92158,62620.8578,74717.68582,99719.73605
G3V928,4457.690254,12685.32011,5761.337429,16757.16,7235.992211,11585.43068,10383.18431,7215.439685,14471.5798,16523.5118,12258.09601,2173.127362,3320.554859,15436.62539,5666.660209
G3V936,3668082.936,3947025.995,3911968.798,6187835.392,3922105.57,3634110.136,3975390.298,3631033.204,5116322.157,5301511.163,5097990.46,3279019.003,3855766.274,5586110.288,3880085.807
G3V940,11618.26295,7602.859227,1367.107833,6995.724862,8777.692592,14081.31796,12345.08985,9255.58366,15982.1363,9896.374723,12496.9567,4199.196216,12201.58606,12391.19933,8028.296944
G3V945,340562.9752,357256.1921,297828.2793,385414.6798,415869.01,174254.0715,213505.0068,184391.5694,283886.7733,377666.0914,151786.4416,103912.2303,113073.2296,162779.7401,135925.9327
G3V946,1474.839753,1555.215903,1417.692826,2003.715285,3897.106512,2939.100884,1868.224926,1521.714264,2839.751106,3054.53058,1587.96369,1868.565438,1980.731061,2922.69289,3600.749935
G3V978,12006.2698,11600.90959,13060.11256,12908.72502,7650.811806,15355.07825,13405.60631,14181.54345,21399.21074,23085.80668,13565.23547,9183.713133,5652.25893,7184.133779,15085.52869
Q5EBB0,70708.22707,64842.04166,27148.07774,56849.72234,111578.2306,29753.83892,70834.11831,35277.6568,90266.45354,61981.19935,141462.6776,34811.32927,57975.62664,180502.6243,62394.8043
G3V9E5,16408.67576,17038.94298,10101.04614,22945.21793,20727.24419,21332.46593,25472.84684,23427.67574,33590.34626,29658.02639,10775.84088,8719.549057,5540.447996,11563.99669,8002.783279
G3V9G4,11730.11596,17225.005,9014.459081,12950.26557,25218.83389,14392.36697,21333.5404,24881.83528,24539.91797,21575.90984,19391.67776,10420.01975,14192.63985,77338.05903,18551.52013
G3V9M6,448798.1542,504250.8917,558870.9259,435930.9524,432159.6074,305756.6006,227442.3678,109518.7808,190827.5229,107902.7071,390244.1432,396999.3848,402474.4973,382453.2392,450192.3174
