GSM591473	GSM591474	GSM591475	GSM591476	GSM591477	GSM591478	GSM591479	GSM591480	GSM591481	GSM591482	GSM591483	GSM591484	GSM591485	GSM591486	GSM591487	GSM591488	GSM591489	GSM591490
NUP93	4.39841	4.44061	3.98082	3.66136	4.46959	3.86906	4.00775	3.97471	3.55027	3.74239	4.41748	4.70717	4.32294	3.97161	4.25443	4.5141	4.58199	4.35545
DEPDC1A	1.71956	1.64233	1.39618	1.89039	1.57586	1.08735	1.5346	1.4079	1.51894	1.79784	1.75392	1.23565	1.67226	1.50041	1.8237	1.5859	1.69647	1.48471
TMEM55A	6.64037	6.5561	6.1878	6.56983	6.39695	6.40112	6.80424	6.54457	6.6107	6.76174	6.36412	6.34262	6.62814	6.78925	6.65036	6.76682	6.81237	6.82841
PPP4R1	7.29744	7.21384	7.09786	7.25346	7.31827	6.79236	7.20942	7.23288	7.15906	7.21935	7.27698	7.27685	7.14708	7.17675	7.27255	6.96062	7.36544	7.22333
DPPA3	1.92074	1.59622	2.03584	1.70671	1.8356	2.01679	2.0902	1.99072	1.92582	1.90146	2.35674	1.95508	1.67788	1.8724	1.76452	1.74505	1.92482	1.80038
GCLC	11.158	11.12655	11.05725	11.14005	10.94285	11.09775	11.1367	10.95045	10.8104	10.33105	11.03455	11.11355	11.32845	11.0364	10.7733	11.24315	11.21695	10.9704
ZFP282	2.257145	2.48387	2.71746	2.871085	2.59347	2.52415	2.568615	2.640165	2.596545	2.607825	2.365505	2.39479	2.592785	2.446455	2.579125	2.566155	2.341105	2.39323
OMA1	7.8414	8.16194	7.4072	7.72007	7.83024	7.87639	7.67365	7.51868	7.72611	7.83679	7.94001	8.01806	7.84112	8.02848	7.8919	7.92925	7.87863	7.74825
GEMIN6	4.99653	5.09861	4.76318	4.96379	5.16876	4.80552	5.03435	5.48287	5.04052	4.99505	5.27948	5.00649	5.00692	5.18159	5.07274	4.8595	5.16009	4.89375
ZFP219	3.5384	4.11886	3.94138	3.88336	3.86262	3.69443	3.74008	4.03358	3.8494	3.62371	3.63697	3.6853	3.75795	3.56939	3.62003	3.70405	4.17193	3.53413
LILRB3	4.36576	3.60534	3.5639	3.4851	3.58894	4.10814	3.55203	3.86264	3.4233	4.27367	3.71253	3.10692	3.71855	4.56447	3.6716	3.45392	3.82737	3.60606
DEPDC7	7.67958	7.97534	8.07001	7.79595	8.18727	7.89394	8.00426	7.81693	7.87458	7.75984	7.96717	7.94216	7.90072	7.94519	7.8269	7.61129	7.86125	7.82253
TPCN2	1.82851	1.88125	1.73191	1.79212	1.63732	1.6739	1.6217	1.64901	1.99513	1.82584	1.50496	2.0018	1.79021	1.93049	1.82817	1.85434	1.88846	1.69958
IGJ	2.43001	2.04229	2.71172	2.67565	2.54025	5.97042	3.46989	2.61037	3.21458	3.10033	3.24929	2.96076	2.49056	2.661	4.23489	2.70418	2.87511	2.53042
ELOVL4	1.68657	1.501185	1.549915	1.543345	1.642865	1.47816	1.59956	1.32633	1.7861	1.830925	1.536955	1.443375	1.40022	1.47538	1.467285	1.56001	1.61653	1.86912
ARHGAP1	4.32434	4.431985	4.676635	4.610525	4.444815	4.711245	4.736695	4.947105	4.34393	4.643795	4.876635	4.50109	4.67597	4.8614	4.530655	4.574745	4.546905	4.76436
SLC24A3	2.67567	2.47601	2.27461	4.26145	2.45376	2.16702	2.57174	2.38048	2.04405	2.0863	2.27133	2.4137	2.4417	2.52515	2.72932	2.71722	2.48868	2.39781
MOCS2	7.28456	7.222165	7.150435	7.31731	7.31523	7.160875	7.34289	7.27336	7.26035	7.186385	7.387865	7.39533	7.370645	7.02847	7.13823	7.15098	7.184695	7.180655
CARKD	8.85157	8.63092	8.7285	8.85906	8.9574	8.85722	8.89253	8.78684	8.944	8.89669	8.9107	8.87765	8.84993	8.86102	8.84764	8.74372	8.71609	8.84809
ADIPOR1	8.06023	8.23533	8.18934	8.15925	8.16261	8.08488	8.2487	8.21241	8.07088	8.18886	8.06844	8.11386	8.05289	8.07275	8.0935	8.23257	8.12321	8.21276
NDUFS7	10.29225	10.16724	10.3716	10.37205	10.30855	10.2646	10.33705	10.3873	10.40995	10.2907	10.42675	10.2988	10.4153	10.28625	10.26495	10.25365	10.21365	10.19465
PRPF3	3.57891	4.06449	3.98926	3.8866	4.29652	4.12934	3.95543	4.44336	3.95136	3.93095	4.11962	3.9004	4.10435	3.93575	3.90492	3.43981	3.94102	3.45493
1110004E09RIK	3.791635	3.802225	3.782095	3.810245	3.88388	3.825085	3.8515	3.80722	3.83168	3.86471	3.8512	3.94203	3.89298	3.843055	3.95042	3.551825	3.670585	3.660485
SLC25A19	3.42431	3.34462	3.16108	3.53128	2.9586	3.16587	3.12402	3.25747	3.06362	3.3302	3.29977	3.31373	3.12816	3.39715	3.08144	3.1612	3.17067	3.3543
LGALSL	7.706175	8.323925	8.36415	7.792165	7.39465	7.794565	6.911935	7.60504	7.2348	6.96448	7.62892	7.774865	7.85419	7.5102	7.48859	7.57007	7.551575	7.63208
ORAOV1	3.258245	3.294045	3.49771	3.20215	3.57626	3.204115	3.32907	3.476655	3.245095	3.513575	3.35119	3.17972	3.440725	3.475905	3.47327	3.32894	3.34039	3.395825
TRAF7	3.75705	3.65942	3.96674	4.01865	3.7647	3.99832	3.81084	4.21168	3.81024	3.80998	4.02226	3.93079	4.02329	4.3442	3.79599	3.90601	3.668	4.231
RFC4	4.342185	4.43863	3.71666	3.88368	4.427165	4.406145	4.460935	4.056005	4.309685	4.711675	4.88141	4.18028	4.26407	4.78953	4.34153	4.114115	4.34201	4.702945
APEX2	2.873985	3.01309	3.033855	2.91653	3.141375	2.891455	3.006185	3.3245	3.11773	3.019735	3.081255	3.014365	3.01863	3.1147	2.855045	2.68216	2.899995	3.11296
NOC2L	3.80926	3.894225	3.90429	4.07779	3.874015	3.68351	3.976485	3.55957	3.630745	3.698045	3.662135	3.70613	3.76015	3.63326	3.939185	3.878625	3.7709	3.443555
ESCO1	5.26848	5.12891	5.107115	4.968855	5.17562	5.101075	5.04578	5.15724	4.90548	5.05344	4.6955	5.221705	4.9792	5.250675	4.875815	4.902755	5.01853	4.82435
LEMD2	3.45863	3.58192	3.78579	3.72975	3.61012	3.73747	3.69979	3.67555	3.70159	3.60649	3.45269	3.48998	3.71501	3.44035	3.51214	3.18134	3.55274	3.39468
ANAPC15	3.54517	3.77559	3.774035	3.41258	3.658265	3.618	3.82405	3.193175	3.642675	3.99815	3.592035	3.5491	3.605895	3.95986	3.5958	3.64238	3.4041	3.59003
PRRG2	3.98471	3.853615	3.73785	4.031065	4.198785	4.061285	4.116415	3.923165	4.10681	4.118835	4.22802	3.97999	4.19844	4.417625	4.165315	4.00459	4.10965	4.046885
SENP1	2.3005	2.31507	2.29202	2.02887	2.11615	1.96481	2.25154	2.18125	1.81709	2.19679	2.15041	2.36427	2.24165	2.07437	2.1862	2.49703	2.12341	2.0593
RAB40C	4.80486	4.40385	4.805415	4.79936	5.037715	4.82735	5.05	5.207385	4.816375	4.89626	4.98594	4.833775	4.89816	4.89371	4.686695	4.659625	4.677455	4.900945
TRMT10C	3.97246	4.18844	4.067565	4.18439	3.9231	4.14949	3.80892	4.334045	4.010585	3.73898	4.29693	4.201485	4.294685	4.191045	4.156905	3.80478	3.831295	3.820005
TSPAN17	2.89018	2.76648	2.640885	3.12301	2.887905	2.861785	3.114065	2.9497	3.160925	2.649145	2.803755	2.724825	3.08945	2.869025	2.76129	3.153685	2.98996	2.91246
PPCDC	2.45632	2.68061	2.83688	2.72853	2.71767	2.61465	2.8309	2.87316	2.77024	2.71382	2.74638	2.79475	2.88904	2.6645	2.50916	2.37391	2.75125	3.02684
SNX15	5.23324	4.77959	5.15796	5.46344	5.67922	5.00181	4.83113	5.78859	5.03754	5.204	5.38173	5.14994	5.6309	5.32823	4.8129	5.33446	4.74271	5.29879
SLC6A13	9.84044	9.90065	9.89933	9.92879	9.98241	9.77571	9.76421	10.1188	9.96708	9.7255	9.77616	9.86373	10.1888	9.7937	9.66626	9.85126	9.64995	9.48545
OASL1	6.00068	5.85715	5.47717	5.53168	5.74138	5.64839	5.7941	5.49328	4.92209	7.09447	6.41676	5.82922	5.37931	5.92773	5.90949	5.35378	6.28269	6.16841
LRRC48	2.000585	2.09994	2.16307	2.193265	2.34252	1.996225	2.01427	2.130605	2.024415	2.06538	1.97526	1.968805	2.123215	2.083635	2.09442	2.114015	2.080525	2.062445
FYTTD1	4.36938	4.504905	4.401205	4.3126	4.289735	4.356715	4.36094	4.46174	4.3087	4.435475	4.40098	4.25115	4.380385	4.441675	4.5236	4.3325	4.33289	4.49077
EIF1A	7.618315	7.77506	7.92692	7.621865	7.52835	7.826615	7.58684	8.119665	7.06231	7.334745	7.516465	7.6281	7.72816	7.4357	7.453805	7.214125	7.51262	7.52125
UBE2M	4.031565	3.949165	4.21703	4.08556	4.19406	3.78788	4.08868	4.206895	4.081135	4.091	4.06602	4.10317	4.1165	4.1612	3.911275	4.02099	4.136025	4.0615
PPP6C	7.458745	7.43875	7.418015	7.26946	7.50008	7.34859	7.436135	7.484335	7.416025	7.273745	7.512365	7.445685	7.377805	7.30211	7.30285	7.104705	7.35096	7.26229
MCMBP	3.43584	3.53369	3.5455	3.67479	3.85484	3.55973	3.35155	3.56626	3.5018	3.27783	3.46667	3.52964	3.71368	3.26604	3.36903	3.52072	3.48856	3.30702
LPGAT1	9.46564	9.40494	9.02555	9.2687	9.4649	9.18074	9.40016	9.13384	9.68457	9.64064	9.43074	9.56035	9.38822	9.45608	9.63861	9.55645	9.58588	9.49985
WFDC2	7.78471	6.35252	5.49669	6.06254	5.90819	6.19713	7.62639	6.30061	7.40821	7.72322	7.35009	6.51278	7.38896	8.67285	6.89322	8.54503	8.11915	8.23277
CYP4A12A	11.0161	10.9079	11.3913	11.5976	10.9869	10.8321	11.0434	11.1221	10.487	11.0378	11.1484	10.6109	9.75791	9.86484	10.8862	9.95571	10.806	10.4703
LRPPRC	8.48562	8.88241	8.5736	8.80451	8.905	8.61914	8.64051	8.86309	8.68613	8.65209	8.61433	8.88627	8.85251	8.52496	8.67384	8.29152	8.63732	8.31074
TMEM140	4.198205	3.79864	3.82589	4.49693	4.275035	4.20918	4.426085	4.121505	4.366115	4.000095	4.21615	4.111615	4.178895	4.91134	4.09307	4.48378	4.454325	4.51286
SIN3B	7.95149	7.62323	7.99404	7.85837	7.90748	7.99936	8.04209	7.87071	7.96404	7.9002	7.93112	7.84532	7.91591	7.86199	7.91165	7.80266	7.81854	7.80285
METRNL	2.5563	2.27173	2.63281	2.47527	2.76669	2.61995	2.66788	2.46126	2.53182	2.23103	2.38695	2.26934	2.13195	2.74161	2.53851	2.52504	2.51383	2.48708
TMEM45B	2.6071	2.35503	2.46335	6.31681	2.02202	2.40978	2.38193	2.39481	2.38342	2.72149	2.6524	2.35542	2.28925	3.43068	2.64263	3.30615	2.92562	3.40228
UBE2E2	4.691655	4.59083	4.665405	4.622195	4.587675	4.6392	4.709555	4.49576	4.81211	4.655195	4.773345	4.681435	4.686315	4.851525	4.708925	4.762695	4.89794	4.923305
OPLAH	8.37502	8.22082	8.38239	8.58471	8.57037	8.09857	8.65448	8.2706	8.6076	8.53721	8.58934	8.38697	8.64391	8.4434	8.47556	8.48845	8.35077	8.36599
TTI2	2.00049	2.03603	2.08409	1.95064	1.86114	2.20792	1.95833	2.10823	2.18729	1.98141	1.88892	2.11226	1.90036	2.09404	2.04053	2.06453	1.99963	1.89366
PPAPDC3	1.99732	1.76623	1.79069	1.77031	1.68489	2.08641	1.91931	1.87956	1.87844	1.79509	1.70498	1.72006	1.8651	1.81494	1.67177	1.99875	1.98732	2.14843
MYCBPAP	2.2171	2.64422	2.19131	2.20059	2.08033	2.43219	2.14701	2.07884	2.44703	1.65267	2.41135	2.33622	1.93055	2.05189	1.81013	2.47874	2.20034	2.44571
UQCR10	8.76291	8.74994	8.77755	9.03923	8.5536	8.48431	8.9707	8.73863	8.72797	9.05088	8.98724	8.54269	8.88381	8.92357	8.53253	8.71311	8.68201	8.9
1810037I17RIK	6.55524	6.73673	6.81726	7.11662	6.56709	6.33484	6.88471	6.89863	6.21967	6.91354	6.82105	6.49235	6.57861	6.97424	6.41209	6.22698	6.63722	6.83324
DOLK	6.88877	6.58343	6.93428	6.9108	6.91488	7.04002	6.92763	6.78964	6.94559	6.61715	6.88319	6.88331	6.66841	6.78756	6.90426	7.10725	6.90257	6.7863
HOMER2	2.80547	3.44064	2.89932	3.1947	3.28396	3.03869	3.17614	3.58546	3.35681	3.39278	2.93574	3.27818	2.98554	2.44238	3.30255	2.59464	2.78106	2.60428
PSMF1	5.95662	5.76621	5.54043	5.621795	6.141215	6.14943	6.32829	5.73756	5.76975	6.59024	6.05032	6.116155	5.95691	6.220655	6.59402	6.17721	6.095435	6.243905
MRPL32	8.70835	8.68373	8.85076	8.59882	8.76919	8.75253	8.84832	8.79667	8.7511	8.63458	8.80548	8.95002	8.753	8.72733	8.7219	8.69606	8.77159	8.83827
ARMCX3	6.13781	6.191415	6.16897	5.858205	6.233035	6.240775	5.94899	6.573175	6.04548	5.73525	5.451845	6.01493	5.983545	6.101545	5.72254	6.193385	6.213655	5.865325
GIMAP4	6.90507	6.845205	6.859195	7.065775	7.09676	7.13343	6.585635	6.86317	6.75806	7.07603	6.515295	6.65287	6.83418	6.978585	6.598095	6.78354	6.86123	6.866395
CDC42EP1	6.60867	6.80524	6.62871	6.79234	6.55157	6.62602	6.83919	6.97913	6.96779	7.21636	6.67599	6.59646	6.68672	6.61658	6.92613	6.98124	6.87932	6.97353
RSL24D1	6.65796	7.00486	6.7559	6.59259	6.79925	6.56013	6.68559	6.73163	6.59393	6.97675	6.91857	6.93574	6.84584	6.66732	6.73216	6.57163	6.34459	6.77127
LDLRAP1	4.52455	4.53977	4.52455	4.26405	4.60943	5.25713	4.08565	4.95564	4.70674	4.77036	4.23782	4.40628	4.84681	4.19461	4.99646	4.52455	4.32347	3.96136
CAR11	1.6641	1.65104	1.64963	1.69879	1.54963	1.61106	1.43665	1.84582	1.78718	1.68026	1.64663	1.59112	1.71472	1.59126	1.67187	1.59135	1.3993	1.45905
VPS37B	4.73813	4.64809	4.71825	4.69839	4.6389	4.67666	4.70012	5.3181	4.70849	4.69839	4.69525	4.80361	4.77632	4.75819	4.69839	4.42827	4.3614	4.45285
SUGP1	3.412435	3.50459	3.433495	3.46245	3.53739	3.47667	3.267795	3.404185	3.271455	3.300965	3.3329	3.51491	3.389755	3.36379	3.221775	3.44083	3.39454	3.502545
RCN3	3.71739	3.40849	3.90936	4.00484	4.12504	3.84368	3.61149	3.98999	3.93593	4.24242	3.87151	4.01903	3.55363	4.74091	3.55044	3.97024	4.29537	4.31294
TMEM51	5.28749	5.37067	4.75587	5.90078	5.37607	5.30023	5.50022	5.46295	5.6124	5.81646	5.06074	4.66487	5.32455	5.70421	5.19192	5.87438	5.5887	5.83683
GON4L	3.0966	3.47684	3.48411	3.58355	3.2967	3.32456	3.24189	3.60469	3.03052	2.99023	3.33835	3.09912	3.31435	3.0299	3.1741	3.26178	3.37708	3.16679
REEP2	2.40904	2.21036	2.2037	2.07282	2.19572	2.60023	1.99211	1.96461	1.99039	2.22493	2.0983	2.43667	2.18181	1.99665	2.25523	2.45839	2.11404	2.44653
PRL8A8	1.52291	1.50325	1.40919	1.41299	1.29394	1.48554	1.39454	1.42509	1.40933	1.34734	1.40362	1.42698	1.62954	1.29001	1.38417	1.41285	1.15903	1.50345
CLUAP1	4.04309	3.53107	4.13093	4.35079	4.21834	4.2205	4.09753	4.18098	4.51535	4.22823	4.25624	4.23423	4.8185	4.15236	4.15512	3.71896	3.92903	4.01388
NUPL1	5.21113	5.361735	5.089615	4.92233	5.30361	5.1651	5.164375	5.66059	5.15654	5.20444	5.497925	5.248895	4.818135	5.264075	5.04937	4.872585	5.19409	4.94664
NRD1	5.040845	5.15993	5.24236	5.27367	5.10897	5.11135	5.171965	5.293295	5.187875	5.151195	5.057955	5.033295	5.32008	5.05748	4.99635	5.132655	5.205165	5.14287
ADHFE1	9.72312	9.36131	9.29116	9.47854	9.31885	9.57304	9.73347	9.37751	9.43834	9.88839	9.93599	9.65027	9.46794	10.008	9.80121	9.77764	9.91936	10.0337
SELM	2.80852	2.94351	2.7011	3.32716	2.88784	2.83518	2.8158	2.84361	2.85007	2.91316	2.99755	3.09623	2.71507	3.37029	2.94623	2.8793	2.8707	2.44492
ASRGL1	3.85164	4.066555	3.611995	3.84207	3.606755	3.575825	3.89204	3.543215	3.66972	3.92959	3.728465	3.781205	3.544745	4.18812	4.20175	3.796445	4.114095	4.20854
DHX36	7.42208	7.34842	7.45936	7.39206	7.55455	7.45317	7.46341	7.48716	7.06648	7.25634	7.52166	7.4526	7.48828	7.1159	7.08654	7.09716	7.14674	7.34274
UCK1	8.10084	7.75825	7.47442	7.90452	7.49658	7.60756	7.95173	7.48724	7.91989	8.27435	8.22813	8.03681	8.0016	8.31765	8.23426	8.247	8.28788	8.35781
ALDH1L1	8.64723	8.85941	8.24644	8.786575	8.56451	7.618125	8.341625	8.31059	8.619865	8.930615	9.188695	8.720255	8.729125	8.68568	8.281595	8.401055	8.647605	8.903505
RUFY3	2.461175	4.16392	2.9035	2.6927	2.578	2.874245	2.64008	2.74432	3.24823	2.493925	2.40426	2.724275	2.281405	2.60903	2.78583	2.82864	3.315005	2.639305
0610040J01RIK	7.41786	7.46691	7.28516	7.41591	7.37197	7.24628	7.63064	7.55476	7.35861	7.5445	7.44156	7.42547	7.5697	7.29659	7.28461	7.3948	7.33212	7.50583
MBIP	4.01493	4.20608	4.01352	4.15691	3.67026	4.05041	3.95293	3.87953	3.70201	3.77005	3.35611	3.76198	4.0645	3.97647	3.78808	4.0847	3.76436	4.39376
BCL2L13	6.48232	6.34048	6.05858	6.3251	6.178125	6.098785	6.43645	6.370175	6.37501	6.324875	6.47284	6.347995	6.2412	6.51962	6.240305	6.58722	6.446335	6.357095
CBX6	2.998485	2.728985	2.62187	3.04627	3.08	3.072845	3.316515	3.023295	3.075895	3.00083	2.943995	2.95176	2.802105	3.183795	2.848685	3.1907	3.310615	3.015715
LIMS2	8.24668	7.67474	8.1096	7.81851	8.161	8.08707	8.55625	8.03422	8.5425	8.57209	7.9081	8.12769	8.13291	8.20012	8.29039	8.35338	8.23672	8.45712
CLDN23	1.56932	1.41886	1.54886	1.55512	1.69439	1.47541	1.44167	1.44172	1.72855	1.81084	1.64409	1.57939	1.42281	1.27919	1.47653	1.34896	1.23572	1.41507
TTC8	4.90449	4.45659	4.29733	4.36048	4.56696	4.53883	5.28953	4.30887	4.86468	4.74149	5.02492	4.90165	3.99246	4.93355	5.29885	5.16799	4.72776	5.22249
TMEM189	3.89485	3.16478	3.86208	3.56886	3.36498	3.56315	4.3873	3.40238	4.29239	4.59907	4.46411	3.62331	3.98713	4.63918	4.02224	4.60524	4.3658	4.75641
OGFRL1	3.71602	3.67377	3.90211	4.05091	4.10516	3.66524	3.37124	3.92925	4.06425	3.65544	3.6554	3.58231	3.78672	3.0985	4.04772	3.69685	3.31083	3.79181
SPON1	1.90295	1.72789	2.03725	1.810235	1.923	1.84156	1.886835	1.76736	1.595755	1.86746	1.900245	1.815275	1.757435	1.690285	1.73611	1.74123	2.058185	1.830725
NKIRAS2	5.69419	5.28011	5.20719	5.90461	5.50605	5.41399	5.53702	5.70507	5.58287	5.90591	5.96953	4.96549	5.65723	5.84393	5.52017	5.90101	5.82095	5.94873
VPS36	5.02023	5.30689	5.0295	5.1216	5.20015	5.13288	5.13785	5.16317	5.11152	4.98736	5.04425	5.11222	5.07235	5.65769	5.1003	5.05017	5.13802	5.19051
SLC25A38	4.92547	4.76851	5.39453	4.87476	5.29683	5.01166	5.45181	5.66052	5.41823	5.49853	5.49862	5.30394	5.72419	5.11871	5.1729	4.91867	4.95547	5.30685
LRRC14	3.08369	3.21986	3.21516	2.786615	2.90245	3.238965	2.88175	3.08002	2.862045	2.98179	3.068595	3.12482	3.193895	2.82762	3.082915	2.768535	3.06207	3.01736
SLC39A1	7.20574	7.67231	6.95811	6.59949	7.51196	7.53244	7.11809	7.06575	7.21239	7.16269	7.13604	7.2995	7.19436	6.97444	7.45049	7.49167	7.37666	7.30095
MTAP	6.32754	6.351015	5.884695	6.2203	6.191	6.19171	6.32214	6.103295	6.328475	6.356205	6.361095	6.5975	6.49903	6.53109	6.19397	6.41185	6.37628	6.48295
TADA1	5.40389	5.30506	5.420625	5.544125	5.507215	5.368925	5.296865	5.4265	5.285145	5.268165	5.285175	5.28294	5.341445	5.27114	5.42737	5.347445	5.431495	5.15914
INO80E	3.06016	3.42136	3.63961	3.36515	3.14016	3.35867	3.47698	3.33592	3.66062	3.273	3.37982	3.4555	3.43081	2.88622	3.58207	3.04742	3.22262	3.30468
MTERFD2	6.38981	6.32326	6.39784	5.99151	6.40931	6.80181	6.4616	6.408	6.64423	6.56063	6.27206	6.73365	6.26417	6.38768	6.82781	6.59589	6.62012	6.52764
CSGALNACT2	5.82468	5.52396	5.91849	5.75052	5.74324	5.77531	5.70709	6.25524	5.45488	5.32888	5.70288	5.94481	5.73235	5.65054	5.78124	6.06587	5.77163	5.6431
UBTD1	2.07795	2.11131	2.201335	2.30963	2.23751	2.211465	2.41305	2.365635	2.310245	2.315905	2.087275	2.12938	2.17811	2.337475	2.26053	2.50424	2.16528	2.338125
MSRB2	6.16	5.82056	5.56045	5.95234	5.70078	5.7578	6.20326	5.42054	5.87589	6.10253	6.1737	6.00097	5.37559	6.4144	6.0819	6.14192	6.28475	6.66019
METTL22	1.78384	2.259255	1.85224	2.20688	2.25382	2.22816	2.015455	2.359405	1.993245	1.983525	2.16884	1.91315	2.123555	2.02291	2.105675	2.23632	2.085355	2.017275
ABCG4	1.50067	1.53703	1.53135	1.561135	1.685265	1.563635	1.474335	1.517845	1.56462	1.572715	1.58594	1.50258	1.607535	1.42558	1.606815	1.643525	1.64316	1.62604
LEPROT	6.59663	6.62256	6.58421	6.67837	6.6198	6.70501	6.64899	6.6911	6.48748	6.70071	6.43986	6.27199	6.54825	6.7818	6.70373	6.68349	6.70892	6.85256
1810065E05RIK	1.64057	2.0428	1.75116	1.97125	2.10545	1.82625	1.82857	1.87194	2.00384	1.72814	1.5673	1.64534	1.75978	1.66337	1.79835	1.7524	1.71015	1.30772
MRPS6	6.962455	6.878605	6.865935	7.12898	6.74479	6.64365	6.8806	6.87074	6.748045	6.82236	7.059345	6.753435	7.042185	7.173835	6.91942	6.943565	7.07052	7.019085
SLC27A4	5.48058	4.87891	4.53248	5.31204	5.29633	4.64571	4.96185	5.0176	5.39033	5.44421	5.26418	5.22798	5.20025	5.41296	5.08344	5.03525	5.53887	5.52156
PJA2	6.696735	6.844265	6.86973	6.584615	6.870065	6.829165	6.65214	6.87431	6.579315	6.45991	6.685195	6.77518	6.610565	6.651275	6.90671	6.68291	6.800405	6.4596
TM6SF1	3.727045	3.5662	3.301935	3.661255	3.13748	3.49897	3.49118	3.538475	3.52876	3.52993	3.44337	3.680395	3.249555	3.685045	3.633875	3.79271	4.131755	3.769555
1600014C10RIK	2.926305	2.92388	3.18471	3.100015	3.049575	2.991525	3.42183	3.272075	3.08347	2.99497	2.95395	3.47467	3.045845	2.927895	2.970595	3.057955	2.982245	2.996025
TM4SF5	1.64374	1.97455	1.76063	1.85396	1.69077	1.9887	1.47482	1.73786	1.85373	1.87167	1.95021	1.88256	1.73176	1.99003	1.70596	1.69344	1.6915	1.75371
ARMC7	2.92957	2.8783	2.73409	2.83629	3.34355	2.92153	2.91903	3.01548	2.66378	2.55111	2.82093	3.07614	2.96581	2.8184	2.60069	2.96682	2.65255	3.09774
1700030K09RIK	3.57761	3.60236	3.50524	3.34715	3.27503	3.36284	3.45703	3.38215	3.19893	3.27341	3.46667	3.45206	3.42995	3.33371	3.52117	3.57581	3.18564	3.65639
TRIM6	1.135665	1.399545	1.39288	1.303555	1.313625	1.23256	1.247475	1.323525	1.14793	1.308536	1.297395	1.341755	1.204185	1.33734	1.248285	1.364025	1.31764	1.353895
FRS3	2.68534	2.35292	2.67836	2.93949	2.74804	2.94513	2.60087	3.0059	2.67811	2.95887	2.70886	2.37758	3.12478	2.61206	2.94341	2.91048	2.59792	3.07394
GPRC5C	3.48214	3.338605	3.43872	3.398225	3.795725	3.59598	3.636005	3.79926	3.54038	3.461205	3.51712	3.642135	3.77215	3.618045	3.56092	3.50073	3.607115	3.767085
SLTM	4.14513	3.59088	3.90265	3.75442	4.2206	4.58997	4.38691	3.88818	4.06263	3.98979	3.7483	4.31397	3.73395	3.45277	4.59783	3.96593	4.10289	3.44031
TMEM87A	2.48089	2.19417	2.08426	1.47458	2.17119	2.29136	2.1813	2.08583	1.95854	1.96671	1.76857	2.14753	2.06776	1.94099	2.27104	2.06258	2.34737	1.93758
GPRASP1	2.18357	1.97574	2.071265	2.051315	1.899795	2.20957	2.106675	2.072115	2.098475	1.886615	1.98115	2.127855	2.21645	2.133515	1.945005	2.20136	2.29327	2.251695
APBB3	4.71282	4.55998	4.81782	4.39375	4.56376	3.88473	4.50688	4.47215	4.62575	4.96697	4.52365	4.50304	4.2466	4.38687	4.63594	4.34737	4.55051	4.58882
KDM4C	4.50028	4.1621	4.28741	4.23998	4.22835	3.99855	4.01101	4.15047	3.87919	3.82339	4.20045	4.3705	4.07624	3.92886	4.71895	4.43321	4.3566	4.53828
DCTN2	8.78374	8.67517	8.70625	8.8694	8.71552	8.69889	8.79619	8.67007	8.73416	8.80788	8.74062	8.48665	8.81288	8.90884	8.69337	8.66997	8.90494	8.77986
ERGIC2	7.68555	7.7265	7.94402	7.58872	7.94956	7.61457	7.77609	8.01324	7.68166	7.75944	7.77327	7.78409	7.63126	7.76203	7.83484	7.55282	7.40378	7.73037
CCDC58	7.93787	8.094055	7.953075	7.948215	7.951025	7.880535	7.801055	7.971945	7.901345	7.863475	7.871	7.924005	7.68194	7.55426	7.9107	7.821605	7.613095	7.62604
IPO9	5.2819	4.80559	4.4993	5.3087	5.09033	4.98086	4.88123	4.87112	5.06055	4.96834	5.28312	5.10626	4.76774	5.48579	4.91	4.88559	5.19393	5.22965
PHLDB1	2.554125	2.307475	2.315025	2.66263	2.331875	2.23646	2.220435	2.26432	2.179775	2.42753	2.073845	2.33659	2.557505	2.565955	2.354225	2.50872	2.593325	2.43438
CPSF4	5.05877	4.90984	5.6379	5.31982	5.33254	5.5774	5.31839	5.23087	5.54228	4.9639	5.59096	5.17188	5.50015	5.05084	5.22538	5.07957	5.00932	4.94907
RAPGEF3	2.33739	1.95232	2.14257	2.04449	1.87844	2.1078	2.23443	2.04847	2.07145	1.88304	2.2461	2.06732	2.00138	2.21	2.28325	2.2925	2.18158	2.10623
NOL6	3.436445	3.268065	3.44509	3.43923	3.35871	3.409075	3.470965	3.294775	3.277575	3.321085	3.389965	3.324565	3.45797	3.20801	3.32996	3.269215	3.453175	3.33543
POLR2H	6.11749	6.05019	6.06877	6.19831	6.3008	6.21721	6.80464	6.18131	6.31354	6.77729	6.21421	6.19899	6.2868	6.67494	6.22003	6.03964	6.32366	6.62178
CAMKK2	2.83614	3.244625	3.301185	3.00395	3.361415	3.31289	3.219225	3.256265	3.177665	3.11323	3.492695	3.749275	2.952405	3.1898	3.76217	3.391525	3.109535	3.419135
TMEM184A	3.947	3.62897	3.54747	4.47235	3.76852	3.71951	4.67327	4.07319	3.75807	4.72655	4.79501	3.6907	3.46821	5.00733	4.75164	4.4489	4.51344	4.75517
BBS2	2.06088	2.16474	2.1564	2.68027	2.0576	2.28539	2.35081	2.31655	2.07746	2.15351	2.39962	2.1734	2.07494	2.29124	2.10359	2.05	2.34696	2.13722
