GSM591473	GSM591474	GSM591475	GSM591476	GSM591477	GSM591478	GSM591479	GSM591480	GSM591481	GSM591482	GSM591483	GSM591484	GSM591485	GSM591486	GSM591487	GSM591488	GSM591489	GSM591490
CTBP1	7.04081	7.19347	7.43568	7.25857	7.25355	7.10788	7.28499	7.39029	7.18635	7.15507	7.27049	7.07099	7.21424	7.18683	7.01804	7.08617	7.33904	7.16696
HUWE1	3.03521	3.1945	3.06401	2.97506	2.94386	2.54575	2.41269	2.89812	2.83334	3.2456	2.98615	3.12626	2.67597	2.75985	2.93072	2.47256	2.66615	2.13371
CDV3	4.672185	4.96927	4.591395	4.35486	4.52811	4.601745	4.71141	4.82627	4.81741	4.88824	4.45029	4.74113	4.49908	4.487505	4.815475	4.77056	4.58814	4.43734
SMIM7	7.34782	6.94617	7.09567	7.2096	7.14053	7.4535	7.18158	7.1692	7.21403	7.5374	7.34231	7.24245	7.18067	7.38112	7.34961	7.33311	7.26294	7.30902
COPA	8.452205	8.70179	8.667625	8.42688	8.20642	8.329095	8.30356	8.681885	8.384835	8.212205	8.717235	8.661915	8.30728	7.96812	8.588395	8.373495	8.30235	8.384765
ANAPC2	7.99416	7.78885	7.74263	8.04513	7.99666	7.74347	8.05363	7.58317	8.00598	8.1207	8.02009	7.9644	7.9648	8.2809	7.93846	8.03916	8.02611	8.11367
TUG1	7.70317	7.48692	7.68633	7.56331	7.79244	7.79491	7.64345	7.59016	7.54137	7.34828	7.75781	7.54949	7.48148	7.55991	7.92711	7.62293	7.67982	7.43792
GBF1	2.3871	2.26797	2.17734	1.92631	2.07421	2.11935	2.13752	2.35216	2.2545	2.25081	2.18331	2.11945	2.2431	2.0504	2.39672	2.22915	1.80864	1.9299
COX18	7.57613	7.39361	7.5081	7.34395	7.52018	7.53336	7.44411	7.4189	7.46543	7.49632	7.6054	7.57713	7.60884	7.60326	7.44651	7.48587	7.4805	7.38555
ARFGEF1	3.71948	3.86275	3.92124	3.54282	3.91634	4.0003	3.54169	3.9223	3.80397	3.6942	3.83	3.52615	3.66467	3.95664	4.39332	3.36519	4.07307	4.43122
ZRANB1	6.19393	6.15042	5.94349	6.22915	6.20008	6.10424	6.11143	6.05456	6.0867	6.11893	6.06364	6.14197	5.93994	5.9195	6.07929	6.01309	6.05918	5.92809
DDX24	4.65565	4.612225	4.54894	4.868645	4.544835	4.726085	4.70583	4.698535	4.484965	4.71048	4.63859	4.497915	4.821555	4.48306	4.697095	4.357035	4.325845	4.50748
SNRNP27	7.857075	8.131735	7.85107	7.944895	8.090935	7.85428	8.032925	7.96624	7.77322	8.157905	8.00469	7.835595	7.6526	8.13175	7.972645	7.769475	7.826585	7.930165
TMEM129	5.80544	5.533745	5.59103	5.362865	5.719035	5.68801	5.955475	5.98735	5.66828	6.00697	6.03377	5.77148	5.735005	6.14541	5.793335	5.776005	5.863895	6.05913
GM9846	11.4017	11.4037	11.7553	11.4586	11.4892	11.5906	11.7392	11.639	11.4662	11.4823	11.3634	11.259	11.3969	11.3194	11.4968	11.2822	11.2596	11.4161
RNF220	1.38499	1.41072	1.34857	1.410225	1.367375	1.503455	1.280645	1.363755	1.408635	1.477035	1.48017	1.36151	1.24916	1.39631	1.38466	1.33207	1.45795	1.457165
SAP30L	7.78902	7.63636	7.90412	7.83756	7.76922	7.7422	7.97153	8.02339	8.07114	7.94283	7.8671	7.83483	7.87566	8.04863	7.83959	8.00686	7.8658	7.95586
ARMC1	4.230005	4.59441	4.522795	4.750605	4.63881	4.515255	4.517465	4.522475	4.66526	4.58882	4.80203	4.57494	4.674465	4.48574	4.481935	4.493295	4.37466	4.347755
MAD2L1BP	6.22958	5.49297	7.27832	6.44304	7.01163	5.82475	6.05003	6.5289	5.80415	5.72535	6.1325	6.0554	6.1038	5.90345	6.04842	5.83294	6.38627	6.14986
NAA60	8.65664	8.41764	8.64496	8.75596	8.56993	8.17699	8.78093	8.69342	8.72216	8.74018	8.68079	8.68429	8.65895	8.4595	8.54247	8.55409	8.60147	8.48208
VTA1	4.46301	4.59444	4.411485	4.564635	4.58082	4.450305	4.61026	4.492455	4.3903	4.35869	4.34395	4.50421	4.57544	4.50902	4.47318	4.306815	4.37289	4.43421
EIF5	9.8051	9.80059	9.99036	9.86562	9.84549	9.76763	10.122	10.0599	9.80199	9.70453	9.89841	9.90156	10.042	9.91325	9.86194	9.76252	9.82817	9.79278
CDC42	10.244455	10.00354	10.069115	10.023465	10.00074	10.10623	10.13641	10.16783	10.121145	10.23536	10.173175	10.00415	10.10799	10.41285	10.11847	10.246575	10.25285	10.41665
RRN3	5.17085	5.37167	5.71677	4.62624	5.3395	4.82573	5.27251	5.10759	4.6549	5.26879	5.36001	5.61592	5.29313	4.71006	4.94507	4.86253	4.82179	5.28154
ANKRD17	3.95989	4.079595	3.78043	3.787625	3.83375	3.982615	4.012305	3.972055	3.98515	4.12585	3.9036	3.999545	3.974745	3.98315	4.274345	3.869375	3.86904	3.94338
APOA1BP	9.62378	9.34171	9.60452	9.46858	9.61066	9.57204	9.59699	9.4621	9.51744	9.61209	9.65961	9.58095	9.48271	9.59389	9.69938	9.62471	9.65503	9.5745
PABPN1	7.861895	8.16528	7.984865	8.14592	8.007535	7.82618	7.86262	8.01833	7.942565	7.67823	7.83091	7.89052	7.98123	7.562685	7.727955	7.819525	7.83084	7.591605
PDPK1	5.82636	5.620875	5.66165	5.68931	5.84384	5.812345	5.762515	5.803815	5.991215	5.616465	5.70046	5.899875	5.665895	5.77679	5.66723	5.93249	5.90343	5.70905
CPSF7	4.76352	5.03733	5.176225	4.87445	4.73386	5.02888	4.76807	4.927455	4.8899	4.392755	4.838385	4.87078	4.960955	4.701905	4.90711	4.63191	4.81386	4.49858
ANGEL2	4.63634	4.559195	4.605765	4.884255	4.78801	4.528695	4.81672	4.364615	4.98706	5.0779	4.517225	4.621755	4.470525	5.20732	4.85242	4.66561	4.692385	5.02541
ABHD16A	7.613545	7.509425	7.531025	7.71696	7.399855	7.63592	7.828935	7.400395	7.60819	7.71733	7.672865	7.54421	7.596435	7.786505	7.587105	7.57628	7.562255	7.66055
TOMM5	8.07362	7.8371	7.74427	8.03005	7.88581	7.69284	8.19916	7.71232	7.9582	8.34609	8.20015	7.77684	7.70638	8.40115	8.1039	8.05455	8.12824	8.21038
RAB7	9.73652	9.39225	9.84649	9.845325	9.73606	9.6306	9.99998	9.94783	9.716845	9.966865	9.937085	9.66659	9.84983	9.96032	9.632545	9.62769	9.64058	9.83959
DDB1	8.97159	8.68776	8.76802	9.09352	9.00821	8.78841	8.93667	8.89364	8.94348	8.93027	8.90051	8.84419	9.07222	8.79634	8.71679	8.941	8.93603	8.88575
PFDN5	2.35072	2.68951	3.3677	3.11604	2.86334	2.55239	2.29775	2.45733	2.40926	2.89712	2.51596	2.35386	2.68984	2.52028	2.47615	2.60923	2.73106	2.17773
RFK	8.33453	8.02007	7.9968	8.27969	8.17819	7.9891	8.38497	8.27757	8.08301	8.34939	8.38411	8.09023	8.22294	8.66481	8.27519	8.54191	8.47037	8.49981
TXNDC12	8.40027	8.19251	8.35813	8.42504	8.70642	8.51825	8.50398	8.5618	8.50115	8.58777	8.63822	8.53133	8.5637	8.56121	8.25832	8.28089	8.24832	8.50739
RBM42	4.12143	3.73299	4.03192	3.80595	4.0011	3.97575	4.03115	4.41483	3.9083	4.40242	4.12421	4.11992	4.18172	4.12711	3.92553	3.80534	3.95537	3.93016
PSMC5	9.38576	9.55522	9.30959	9.46769	9.47299	9.31957	9.2732	9.40648	9.424	9.21366	9.36708	9.44226	9.4402	9.3625	9.28668	9.38151	9.32537	9.25092
TMEM165	7.24699	7.0057	6.9875	7.19575	6.90111	7.31356	7.02998	7.03014	6.78995	7.00629	7.0352	6.81575	6.89284	7.29083	7.01496	7.02746	7.29592	7.37336
AUP1	8.77127	8.57724	9.00658	8.72818	8.82625	8.905	9.00334	8.92624	8.86807	8.97361	8.91728	8.72894	8.92226	8.87636	8.80202	8.66276	8.51618	8.77624
HDAC5	4.46858	4.45405	4.65926	4.84158	4.42231	4.39437	4.63845	4.5685	4.11419	4.44936	4.32203	4.26088	4.58636	4.2638	4.47822	4.29237	4.28977	4.42813
H2-KE2	8.59049	8.56002	8.63441	8.59416	8.88298	8.64564	8.54594	8.65383	8.84593	8.63834	8.46194	8.78207	8.54318	8.58676	8.57879	8.34137	8.53117	8.33107
DSCR3	7.69811	7.14701	7.44794	7.62092	7.47193	7.55305	7.59234	7.33095	7.68927	7.59711	7.49554	7.3664	7.37548	7.79738	7.7701	7.72193	7.53266	7.80343
CIC	3.92277	4.02247	3.86898	4.09301	3.79242	4.16597	3.83863	3.88821	3.8155	4.05507	3.73598	3.7717	4.07925	3.54396	3.92056	3.98503	4.20444	3.65698
RIOK3	8.044	8.115185	8.097825	8.049235	8.20762	8.060995	8.230255	8.18671	8.19666	8.05454	8.122605	8.094475	8.213345	8.131565	8.146305	8.087095	8.065395	8.020575
DCTN5	7.37363	7.24129	7.30829	7.242265	7.286615	7.22041	7.27915	7.31421	7.1841	7.4899	7.425965	7.37743	7.316985	7.44415	7.169315	7.285995	7.21811	7.45847
RRAGC	8.5963	8.29837	8.30162	8.72161	8.51579	8.36347	8.73244	8.32946	8.59503	8.58432	8.56661	8.34761	8.3563	8.8774	8.4582	8.74146	8.68187	8.64213
TBL3	1.46267	1.68619	1.52354	1.25213	1.44731	1.51506	1.5291	1.5206	1.76164	1.62899	1.4877	1.34385	1.55809	1.582	1.5495	1.65373	1.23213	1.57256
HP1BP3	6.146145	6.119	6.071555	6.17887	6.310515	6.138505	6.37303	5.99359	6.2482	6.28643	6.19175	6.196855	6.214895	5.993865	6.13565	5.960995	6.44393	6.11321
BC031181	9.63062	9.45155	9.36594	9.57946	9.6007	9.45342	9.49246	9.51029	9.58558	9.53057	9.61614	9.68171	9.56241	9.72329	9.45856	9.57066	9.67252	9.62227
ABHD17A	7.88272	6.95111	7.44362	7.73636	7.43309	7.37917	8.07708	7.60674	7.6885	8.09104	8.05025	7.34578	7.58935	8.41016	7.73593	7.96364	7.99179	8.23556
POLR2F	5.011155	5.094735	5.178	5.26727	5.116175	5.095895	5.170975	4.95943	5.002975	5.166785	5.100235	5.11054	5.14476	5.08187	5.004865	4.913625	4.943505	5.22222
UBE2V1	7.91134	7.37501	7.642465	8.0314	7.923235	7.632575	7.949885	7.975455	7.906855	8.01172	8.095685	7.7099	7.926255	8.081265	7.505075	7.600255	7.869845	7.872945
SNAPIN	5.774205	5.590565	5.95716	5.76928	5.80583	5.745355	6.07003	5.859325	5.66091	5.9466	5.879365	5.88876	5.46966	5.93752	6.075345	5.80421	6.092235	6.2758
FRYL	3.60444	3.923905	3.572115	3.78533	3.94632	3.43695	3.51003	3.692345	3.704195	3.528115	3.459085	3.555525	3.57541	2.982555	3.610255	3.578755	3.677955	3.31251
LAMTOR5	9.476535	9.480895	9.52898	9.328775	9.44935	9.44195	9.55345	9.432765	9.498585	9.61228	9.51033	9.50336	9.42417	9.474315	9.634455	9.492	9.47414	9.62489
ATOX1	6.545605	5.951155	6.26619	6.3712	6.28558	6.177095	6.52099	6.428505	6.36941	6.46003	6.501195	6.321185	6.45175	6.455975	6.28866	6.548675	6.576995	6.497615
MRPL52	9.0891	8.944515	9.312795	9.22374	9.219875	9.212955	9.33193	9.32661	9.172825	9.206735	9.2249	9.04512	9.14701	9.219565	9.161345	9.09885	9.156535	9.13099
LOC100505293	8.38155	8.32458	8.48531	8.61912	8.4343	8.31396	8.47414	8.4556	8.41665	8.39432	8.30184	8.27243	8.4767	8.37965	8.28318	8.22454	8.33885	8.2876
ZC3H11A	4.757865	4.98804	4.941445	4.754965	4.89561	4.67121	4.753615	4.91568	4.92502	4.574135	4.755945	4.66444	4.73606	4.66275	4.648485	4.416425	4.580285	4.69384
HNRNPUL2	7.20065	7.381605	7.40108	7.43748	7.16103	7.147695	7.180865	7.366365	7.25141	7.082905	7.114125	7.14163	7.114805	7.134925	7.17014	7.193345	7.092445	7.09712
SEC22B	8.457655	8.444895	8.45085	8.36512	8.487935	8.321135	8.263795	8.550345	8.06495	8.19647	8.437045	8.527745	8.42485	8.50246	8.232365	8.376135	8.531815	8.46996
YTHDF1	6.62556	6.98419	7.03096	6.93317	6.96088	6.84235	6.89779	7.27381	6.61141	6.50363	6.88292	6.77445	6.91538	6.5526	6.67488	6.26203	6.57784	6.3761
UBE2R2	6.344785	6.277525	5.970835	6.202255	6.201355	6.162065	6.40527	5.938495	6.3831	6.1371	6.11079	6.20666	6.3009	5.80458	6.02049	6.37621	6.21398	6.1673
ITCH	4.84408	4.73985	4.506035	4.594075	4.906965	4.894015	4.94417	4.69704	5.447865	4.66959	4.73087	5.04299	4.682095	4.45957	5.143335	4.85049	4.488775	4.51166
WDR6	6.49812	6.27764	6.32994	6.11086	6.25181	6.33024	6.31447	6.71305	6.31846	6.55498	6.33294	6.45944	5.98803	6.36455	5.97363	6.66483	6.36649	6.55039
NCL	6.77744	6.68788	6.52641	6.545615	6.711245	6.62822	6.84251	6.639575	6.963335	6.62283	6.515825	6.67985	6.332495	6.79539	6.729205	6.58551	6.699395	6.73405
ELP2	6.45689	6.785555	6.428805	6.507045	6.58866	6.365985	6.357435	6.538415	6.230705	6.413945	6.243605	6.541675	6.446815	6.29006	6.185545	6.24693	6.416745	6.2114
RBBP7	10.024255	10.12541	9.88365	9.939405	10.112095	10.10698	9.933095	9.971945	10.082335	9.90593	9.959155	10.05443	10.002465	9.932135	10.073035	9.961025	9.97894	9.97612
ALDH3A2	11.4047	10.6006	10.2355	10.7458	10.8779	10.8175	11.3681	10.5975	11.3121	11.24	11.3934	11.4059	11.2817	11.6471	11.3547	11.648	11.6004	11.705
PNLIPRP1	1.60022	1.84506	1.84785	1.68557	1.67902	1.98401	2.16675	1.84703	1.46309	1.46893	2.30562	1.7584	1.92075	1.29032	1.39027	2.16834	1.9168	1.3476
MORF4L2	10.1611	10.2035	10.1256	10.0628	10.4293	10.1036	9.96165	10.3517	9.93269	10.0376	10.1764	10.2597	10.2504	10.3679	9.88258	10.3219	10.1986	10.4121
ACTG1	10.8591	10.8011	10.0166	10.7066	10.4251	10.6825	10.6573	9.96488	10.0536	10.9933	11.0052	10.611	10.4334	10.9383	10.5632	10.7541	10.9042	10.9434
ARMCX2	2.46445	2.55005	2.76947	2.26901	2.68939	2.54467	2.90338	2.65783	2.58704	2.49275	2.19268	2.67852	2.91957	2.73618	2.51206	2.33408	2.63586	2.58549
GM13430	11.2084	11.4535	11.087	11.1599	11.2083	11.1882	11.0758	11.1673	11.1813	11.149	11.1107	11.2428	11.1685	11.1133	11.2295	11.2417	11.1726	11.1512
SUMO2	10.1469	10.085	10.0248	10.0442	10.1525	10.0756	10.0732	10.1689	10.0779	10.0615	10.0542	10.141	10.1189	10.0299	9.986	10.0331	10.033	9.98082
VPS35	8.83955	8.28128	8.61097	8.49019	8.48489	8.668315	8.9233	8.871655	8.815655	9.06861	9.05264	8.71051	8.4439	9.038495	8.80883	8.799285	8.695905	9.171185
CCT8	5.635475	5.632165	5.53916	5.55842	5.56396	5.486	5.550005	5.77728	5.520245	5.57502	5.4797	5.393585	5.609955	5.583745	5.321718	5.6123	5.52409	5.60736
PGC	1.89363	1.75737	1.98942	1.89781	1.74568	1.8688	1.92319	2.16565	1.91326	1.89167	1.7313	1.9558	1.92739	1.86401	1.9975	1.95551	1.81363	2.21468
GANAB	5.13199	5.30772	5.32414	5.093615	5.28646	5.28923	5.18522	5.1754	5.15528	4.77965	5.022585	5.267625	5.365155	5.04069	5.203125	5.05773	5.003445	4.92979
UBLCP1	7.77429	8.02146	7.90603	7.47294	7.94684	7.63564	7.64612	7.80543	7.85325	7.63902	7.87972	8.04569	7.88248	7.68778	7.93064	7.65341	7.62442	7.69272
RNF34	4.41072	4.11547	4.18884	4.12006	3.92426	4.24914	4.17847	4.15683	3.96839	4.19843	4.11878	4.32639	4.13885	4.37799	4.32412	4.31426	4.22646	4.50096
RBCK1	6.37782	6.05815	5.94834	6.59459	6.48081	6.34698	6.72931	6.33103	6.42183	6.68735	6.68688	6.21569	6.36221	6.73688	6.44437	6.14819	6.54102	6.40213
PNPO	9.47132	9.18784	9.41627	9.33152	9.50603	9.39613	9.61835	9.54465	9.6261	9.68314	9.5925	9.51814	9.53899	9.62348	9.3753	9.41986	9.50779	9.54384
SPIN1	8.3132	8.322435	8.575285	8.052205	8.56879	8.31922	8.137185	8.660195	8.39927	8.317865	8.468945	8.399455	8.48248	8.080905	8.25183	7.84575	7.89319	8.169695
DAZAP2	10.6078	10.5715	10.6769	10.6128	10.6982	10.7168	10.7428	10.7506	10.6376	10.5896	10.6317	10.6965	10.696	10.6012	10.6284	10.5719	10.4802	10.5875
